"culture_id";"culture_name";"structure_id";"structure_name";"metacode"
"1740";"Maïs";"53";"Eureden";"MIS"
"1744";"Seigle meunier";"53";"Eureden";"SGH"
"1745";"Méteil grain binaire";"53";"Eureden";"MLG"
"1746";"Haricot";"53";"Eureden";"PHF"
"1747";"Pois";"53";"Eureden";"PHF"
"1748";"Prairie permanente BIO";"42";"Assolia Direct";"PPH"
"1749";"Prairie temporaire de 5 ans ou moins et autre mélange avec graminées BIO";"42";"Assolia Direct";"PTR"
"1750";"Jachère terre arable BIO";"42";"Assolia Direct";"JAC"
"1751";"Persil semence";"42";"Assolia Direct";"PSL"
"1752";"Lotier semence";"42";"Assolia Direct";"LOT"
"1753";"Luzerne semence";"42";"Assolia Direct";"LUZ"
"1755";"CIVE RG - Maïs ensilage";"56";"Valotech";"MIS"
"1757";"Blé tendre d'hiver - CIVE été";"56";"Valotech";"BTH"
"1758";"Orge d'hiver - CIVE été";"56";"Valotech";"BTH"
"1759";"CIVE SVT - Maïs ensilage";"56";"Valotech";"MIS"
"1760";"CIVE SVT - Maïs ensilage tardif";"56";"Valotech";"MIS"
"1761";"CIVE RG";"56";"Valotech";"PTR"
"1763";"Maïs dry";"42";"Assolia Direct";"MIS"
"1764";"Maïs ensilage sec";"42";"Assolia Direct";"MIS"
"1769";"Brocoli - Epinard";"53";"Eureden";"CHU"
"1770";"Maïs ensilage après RGI";"42";"Assolia Direct";"MIS"
"1771";"Courgette";"53";"Eureden";"CCN"
"1772";"Céleri branche";"53";"Eureden";"CEL"
"1773";"Betterave rouge";"53";"Eureden";"BTN"
"1774";"Potiron";"53";"Eureden";"POT"
"1775";"Pois de conserve - Brocoli";"53";"Eureden";"PPR"
"1776";"Navet - Blé tendre";"53";"Eureden";"NVT"
"1777";"Brocoli - Chou-fleur";"53";"Eureden";"CHU"
"1778";"Epeautre";"53";"Eureden";"EPE"
"1779";"Brocoli - Brocoli";"53";"Eureden";"CHU"
"1780";"Ceréales dérobé eté";"26";"Euralis";"BTH"
"1781";"Meteil - maïs ensilage";"26";"Euralis";"MIS"
"1782";"Maïs waxy";"26";"Euralis";"MIS"
"1783";"Maïs Irrigué ensilage";"26";"Euralis";"MIS"
"1784";"Maïs ensilage";"26";"Euralis";"MIS"
"1785";"Autre assolée";"60";"GRCETA 27";""
"1786";"Betterave";"60";"GRCETA 27";"BTN"
"1787";"Blé tendre d'hiver";"60";"GRCETA 27";"BTH"
"1788";"Blé de blé";"60";"GRCETA 27";"BTH"
"1789";"Colza alimentaire";"60";"GRCETA 27";"CZH"
"1790";"Colza d'hiver érucique";"60";"GRCETA 27";"CZH"
"1791";"Orge d'hiver";"60";"GRCETA 27";"ORH"
"1792";"Féverole de printemps";"60";"GRCETA 27";"FVP"
"1793";"Jachère";"60";"GRCETA 27";"JAC"
"1794";"Lin fibre de printemps";"60";"GRCETA 27";"LIF"
"1795";"Lin fibre d'hiver";"60";"GRCETA 27";"LIF"
"1796";"Lin graine de printemps";"60";"GRCETA 27";"LIF"
"1797";"Orge de printemps";"60";"GRCETA 27";"ORP"
"1799";"Orge de printemps sémée Automne";"60";"GRCETA 27";"ORH"
"1800";"Maïs grain";"60";"GRCETA 27";"MIS"
"1801";"Maïs ensilage";"60";"GRCETA 27";"MIS"
"1802";"Pois protéagineux printemps";"60";"GRCETA 27";"PPR"
"1803";"Pois protéagineux hiver";"60";"GRCETA 27";"PHI"
"1804";"Pomme de terre";"60";"GRCETA 27";"PTC"
"1805";"Tournesol";"60";"GRCETA 27";"TRN"
"1806";"Prairie temporaire";"60";"GRCETA 27";"PTR"
"1807";"Prairie permanente";"60";"GRCETA 27";"PPH"
"1809";"Avoine blanche flocon";"60";"GRCETA 27";"AVH"
"1810";"Avoine fourragère";"60";"GRCETA 27";"AVH"
"1811";"Blé fourrager";"60";"GRCETA 27";"BTH"
"1812";"Blé meunier d'hiver";"60";"GRCETA 27";"BTH"
"1813";"Colza d'hiver";"60";"GRCETA 27";"CZH"
"1814";"Engrain";"60";"GRCETA 27";"EPE"
"1815";"Epeautres hybride";"60";"GRCETA 27";"EPE"
"1816";"Epeautres non hybride";"60";"GRCETA 27";"EPE"
"1818";"Féverole";"60";"GRCETA 27";"FVL"
"1819";"Lentille verte";"60";"GRCETA 27";"FVL"
"1820";"Luzerne foin";"60";"GRCETA 27";"FVL"
"1821";"Luzerne UCDV";"60";"GRCETA 27";"FVL"
"1822";"Lin brun ou lin doré";"60";"GRCETA 27";"LIF"
"1823";"Lin fibres de printemps";"60";"GRCETA 27";"LIF"
"1824";"Maïs";"60";"GRCETA 27";"MIS"
"1825";"Méteil Blé fourrager Féverole";"60";"GRCETA 27";""
"1826";"Méteil Orge Pois protéagineux";"60";"GRCETA 27";""
"1827";"Méteil Seigle fourrager Lentille";"60";"GRCETA 27";""
"1828";"Méteil Triticale Pois fourrager";"60";"GRCETA 27";""
"1829";"Orge de printemps brassicole";"60";"GRCETA 27";"ORP"
"1830";"Orge d'hiver ou OP fourragère";"60";"GRCETA 27";"ORH"
"1831";"Pois chiche";"60";"GRCETA 27";"PCH"
"1832";"Pois protéagineux classiques";"60";"GRCETA 27";""
"1833";"Quinoa";"60";"GRCETA 27";"CAG"
"1834";"Sarrasin";"60";"GRCETA 27";"SRS"
"1835";"Seigle en fourrager";"60";"GRCETA 27";"SGH"
"1836";"Seigle en meunier";"60";"GRCETA 27";"SGH"
"1837";"Soja";"60";"GRCETA 27";"SOJ"
"1838";"Triticale fourrager";"60";"GRCETA 27";"TTH"
"1839";"Blé meunier de printemps";"60";"GRCETA 27";"BTP"
